age,current_savings,monthly_contribution,years_to_retirement,risk_tolerance,recommended_investment
58,7700000,107000,6,4,3
65,15500000,82000,3,3,2
27,820000,42000,28,4,3
50,3700000,72000,8,3,0
36,2800000,53000,22,5,4
61,11200000,132000,5,2,1
68,19000000,83000,2,1,1
25,750000,35000,35,4,3
30,1500000,40000,30,5,4
32,1200000,25000,28,3,0
34,3000000,60000,26,4,3
40,4000000,80000,20,2,1
42,5500000,100000,18,3,0
45,6000000,50000,15,4,3
48,8000000,75000,12,3,2
50,12000000,100000,10,5,4
52,7000000,65000,8,3,0
54,9500000,120000,5,2,1
58,15000000,90000,3,1,2
25,500000,15000,37,5,4
28,1800000,50000,35,4,3
35,3500000,30000,30,3,0
39,2500000,40000,22,2,1
41,6500000,80000,17,4,3
43,9000000,70000,14,5,4
47,11000000,120000,10,2,1
60,13000000,75000,1,1,2
29,1600000,60000,34,3,0
31,3200000,50000,29,5,4
37,4500000,95000,20,3,3
44,5300000,80000,16,2,1
53,9000000,110000,7,4,3
55,14000000,100000,5,2,1
26,400000,25000,36,5,4
33,2700000,60000,27,3,0
38,3100000,45000,21,2,1
46,7500000,100000,13,4,3
51,8500000,70000,9,3,2
57,11500000,90000,4,1,2
27,1200000,30000,35,4,3
34,3900000,40000,26,5,4
36,2200000,35000,24,3,0
39,1800000,50000,20,2,1
40,4500000,80000,19,4,3
42,7000000,95000,15,5,4
48,6400000,120000,11,2,1
49,5500000,65000,10,3,0
55,13000000,100000,6,4,3
25,320000,15000,36,5,4
29,2100000,35000,34,3,0
30,3300000,45000,30,2,1
39,4000000,85000,22,4,3
41,7800000,75000,17,5,4
46,12000000,70000,12,2,1
52,6800000,80000,8,3,0
27,900000,20000,37,5,4
32,2300000,40000,29,4,3
38,2900000,50000,23,3,0
43,5200000,60000,16,2,1
50,7000000,90000,10,4,3
54,12000000,85000,4,1,2
26,1500000,30000,35,4,3
34,3600000,60000,27,5,4
35,2200000,40000,22,3,0
37,1800000,35000,21,2,1
40,4500000,70000,19,4,3
44,8900000,100000,15,5,4
49,7600000,80000,12,2,1
51,5500000,95000,8,3,0
56,15000000,120000,3,1,2
28,320000,20000,35,5,4
30,1900000,30000,30,4,3
39,3000000,45000,20,2,1
41,6600000,90000,16,4,3
45,7200000,70000,14,5,4
48,9500000,80000,11,2,1
53,6800000,75000,8,3,0
27,1400000,25000,36,5,4
33,3700000,60000,29,3,0
36,2600000,40000,24,2,1
42,4600000,80000,19,4,3
50,5600000,65000,10,5,4
55,11000000,100000,5,2,1
25,550000,20000,35,5,4
31,1500000,45000,33,4,3
36,2800000,60000,26,3,0
37,4500000,30000,24,2,1
41,3300000,50000,20,4,3
44,6200000,70000,18,3,0
48,9000000,85000,13,2,1
50,11000000,75000,10,4,3
52,14500000,100000,6,5,4
53,8200000,65000,8,3,2
54,9900000,90000,5,1,1
58,13500000,55000,2,1,2
27,2400000,40000,35,4,3
29,1900000,45000,32,5,4
34,3700000,60000,27,3,0
39,5000000,70000,22,2,1
40,7400000,80000,19,5,4
45,9500000,120000,14,3,0
47,6500000,100000,12,2,1
49,6000000,75000,11,3,3
55,10000000,95000,6,4,3
28,1300000,30000,35,5,4
32,2600000,50000,30,4,3
36,2900000,45000,25,3,0
38,2100000,35000,20,2,1
43,4300000,65000,15,4,3
46,8800000,70000,13,5,4
51,5500000,90000,9,3,2
30,400000,20000,38,4,3
35,1500000,30000,27,5,4
39,2400000,40000,22,3,0
44,3700000,60000,16,2,1
42,5600000,80000,15,4,3
48,7200000,90000,11,5,4
50,9800000,100000,7,2,1
56,13000000,75000,4,3,0
25,750000,30000,36,5,4
31,1900000,45000,33,4,3
34,2800000,50000,29,3,0
36,3300000,40000,24,2,1
41,4000000,80000,20,5,4
45,7000000,70000,17,3,3
53,6800000,95000,10,2,1
29,1500000,20000,35,5,4
30,2700000,60000,32,4,3
39,3100000,50000,21,2,1
43,7500000,70000,14,3,0
40,6800000,85000,19,5,4
48,8100000,90000,11,2,1
52,12000000,100000,6,3,0
28,1300000,40000,35,4,3
33,2300000,30000,29,5,4
38,2700000,45000,23,3,0
46,4900000,65000,12,2,1
50,6500000,85000,8,4,3
55,8500000,100000,5,1,2
25,400000,15000,37,5,4
29,3200000,50000,34,3,0
32,2500000,60000,28,4,3
37,3100000,70000,21,2,1
42,4300000,90000,16,5,4
44,6600000,100000,14,3,0
49,5400000,95000,12,2,1
31,1100000,30000,32,5,4
34,4200000,60000,29,3,0
39,2300000,40000,24,2,1
45,4600000,80000,19,4,3
53,7800000,70000,10,5,4
50,9600000,75000,7,1,1
25,500000,25000,35,5,4
30,1500000,40000,32,4,3
36,2800000,60000,28,3,0
38,3100000,70000,20,2,1
41,4500000,50000,17,4,3
44,6200000,75000,14,3,0
46,9000000,85000,12,2,1
48,8200000,120000,10,5,4
52,13000000,95000,6,4,3
55,7800000,65000,8,3,2
58,15000000,85000,5,1,1
25,2400000,40000,37,5,4
29,1900000,45000,34,4,3
34,3700000,60000,27,3,0
40,2200000,30000,22,2,1
42,4700000,80000,18,4,3
49,6000000,70000,15,5,4
51,8800000,95000,12,2,1
53,6400000,100000,10,3,3
25,500000,20000,36,5,4
30,1800000,40000,33,4,3
35,2600000,50000,30,3,0
39,3200000,45000,23,2,1
41,3900000,75000,19,4,3
46,7200000,85000,13,5,4
50,6500000,90000,8,2,1
28,1300000,30000,36,4,3
32,3000000,60000,29,5,4
37,4100000,55000,22,3,0
45,5400000,70000,15,2,1
48,5000000,100000,11,4,3
54,9200000,120000,4,1,2
26,1500000,25000,36,5,4
31,2200000,40000,30,4,3
34,3700000,60000,25,3,0
40,2500000,70000,19,2,1
43,4800000,80000,17,4,3
49,8000000,95000,10,5,4
52,11000000,85000,7,2,1
27,700000,20000,35,5,4
35,1600000,35000,32,4,3
39,3000000,45000,21,3,0
41,3800000,60000,18,2,1
44,4900000,75000,16,4,3
50,6500000,95000,12,5,4
54,9600000,100000,6,2,1
25,400000,15000,37,5,4
30,2900000,50000,34,3,0
32,2600000,40000,30,4,3
36,3900000,60000,23,2,1
42,7200000,80000,17,5,4
48,8000000,70000,13,3,0
51,9400000,90000,9,2,1
29,1700000,30000,35,5,4
33,3400000,40000,29,4,3
38,2800000,50000,24,3,0
46,5500000,75000,12,2,1
50,7500000,100000,10,5,4
55,8600000,95000,5,3,0
25,2800000,30000,36,5,4
31,2200000,45000,33,4,3
39,4000000,60000,20,2,1
41,6700000,70000,16,4,3
45,9200000,85000,12,5,4
49,11000000,75000,9,2,1
27,800000,15000,37,5,4
30,1800000,40000,35,4,3
35,2600000,50000,30,3,0
38,3100000,60000,24,2,1
40,4800000,70000,19,4,3
47,7200000,80000,15,5,4
50,8600000,90000,11,2,1
53,9000000,120000,7,3,0
26,1500000,20000,36,5,4
32,2200000,35000,30,4,3
36,2800000,60000,28,5,4
41,2900000,45000,20,3,0
43,5500000,70000,16,2,1
48,7500000,90000,11,5,4
52,13000000,100000,6,4,3

